year,title,description
1995,Toy Story ,"In a world where toys come to life in the absence of humans, a group of toys is preparing to move into a new house with their owner, Andy Davis, his sister, Molly, and their single mother. The toys become uneasy when Andy has his birthday party a week early; pullstring cowboy doll Sheriff Woody, Andy's favorite toy and their leader, sends Sarge and his green army men to spy on the gift-opening with a baby monitor in hopes of calming the others. The other toys which include Mr. Potato Head, Slinky Dog,  Rex (a toy dinosaur),  Hamm (a piggy bank), and Bo Peep (a porcelain doll) are relieved when Andy receives nothing that could replace them. Andy then receives a last-minute surprise gift from his mother: A Buzz Lightyear action figure, who believes he is an actual space ranger. Buzz impresses the other toys with his various features, and becomes Andy's new favorite toy, making Woody jealous.
Two days before the move, Andy's family plans for a dinner at Pizza Planet, where Andy is allowed to bring along only one toy. To ensure Andy chooses him and not Buzz, Woody tries to use the radio-controlled car RC to knock Buzz behind the dresser, but accidentally knocks him out a window instead. Most of the other toys suspect that Woody intentionally tried to kill Buzz, but Andy arrives and takes Woody before they can exact revenge. A furious Buzz stows away in the car, and confronts Woody when the car stops at a gas station on the way to Pizza Planet. The two fight, fall out of the car, and are left behind.
After a further argument, the two hitch a ride on a Pizza Planet delivery truck and sneak into the restaurant. However, Buzz mistakes a claw crane full of Little Green Men for a spaceship, and enters it, with Woody in pursuit. Andy's sadistic next-door neighbor Sid Phillips spots and wins the two, along with a Little Green Man, and takes them to his house. Woody and Buzz encounter Sid's vicious Bull Terrier Scud and some ""mutant"" toys made from parts of other toys Sid has destroyed.
As Woody tries to find an escape route, Buzz is shocked to see a Buzz Lightyear action figure television commercial that proves that he is indeed just a toy. In denial, he attempts to fly, but fails, breaking his arm, sending him into a depression. After the mutant toys fix Buzz, Sid returns and tapes Buzz to a rocket, intending to blow him up, but he is forced to wait until the next morning due to bad weather. Woody helps Buzz realize that his purpose is making Andy happy, while admitting his own insecurities. This conversation restores Buzz's resolve, and the two work to get out of Sid's house. Just as Sid takes Buzz out to attempt to launch him, Woody rallies the mutant toys to frighten Sid into never harming toys again, freeing him and Buzz.
Woody and Buzz pursue Andy's moving truck, but Scud sees them and gives chase, biting Woody's ankle. Buzz fights off Scud, while Woody climbs into the truck and pushes RC out, using him to distract Scud and rescue Buzz. The other toys, thinking Woody is now trying to get rid of RC, toss Woody back into the street. Having escaped Scud, Buzz and Woody pursue the truck on RC, and the other toys spot them coming and realize their error. During the chase, RC's batteries run out, forcing Woody to light the rocket still strapped to Buzz. As they launch towards the truck, they become airborne, and Woody drops RC into the truck. Buzz opens his wings to sever the tape just before the rocket explodes; he and Woody glide over the truck and fall through the sunroof of Andy's car, landing safely beside Andy.
At Christmas, in the new house, Sarge and his men spy on the gift-opening again while the other toys wait. Mr. Potato Head is delighted when Molly gets a Mrs. Potato Head, and Woody and Buzz jokingly ponder what gift could be ""worse"" than Buzz, only to nervously smile at each other when Andy gets a dachshund puppy."
1995,Jumanji ,"In 1969, Alan Parrish lives with his parents Sam and Carol in Brantford, New Hampshire. One day, he escapes a group of bullies and retreats to Sam's shoe factory. He meets his friend, Carl Bentley, who reveals a new shoe prototype he made by himself. Alan misplaces the shoe and damages a conveyor belt, but Carl takes responsibility and loses his job. After the bullies attack Alan and steal his bicycle, Alan follows the sound of tribal drumbeats to a construction site. He finds a board game called Jumanji, which was buried 100 years earlier, and brings it home.
That night, after arguing with Sam about attending a boarding school, Alan plans to run away, but his friend, Sarah Whittle, returns his bicycle. Alan shows her Jumanji and invites her to play. With each roll of the dice, the game piece moves by itself and a cryptic message describing the roll's outcome appears in the crystal ball at the center of the board. After Alan inadvertently rolls a five, a message tells him to wait in a jungle until someone rolls a five or eight, and he is sucked into the game. Shortly after, a swarm of bats appears and chases Sarah out of the mansion.
Twenty-six years later, Judy and Peter Shepherd move into the now-vacant Parrish mansion with their aunt Nora, after their parents died in an accident on a ski trip in Canada the winter before. Discovering Jumanji in the attic, Judy and Peter begin playing it. Their rolls summon giant mosquitoes and swarms of monkeys. The game rules state everything will be restored when the game ends, so they continue playing. Peter next rolls a five which releases a lion and a grown-up Alan. As Alan makes his way out, he meets Carl, who is now working as a police officer. Alan, Judy, and Peter go to the now-abandoned shoe factory and learn that Sam abandoned the business to search for his son after his disappearance, until his 1991 death. Eventually, the factory closed, sending Brantford into economic decline.
Realizing they need Sarah to finish the game, the three locate Sarah, now haunted by both Jumanji and Alan's disappearance, and persuade her to join them. Sarah's first move releases fast-growing carnivorous vines, and Alan's next move releases a big-game hunter named Van Pelt, whom Alan first met in the game’s inner world. The next roll summons a stampede of various animals, and a pelican steals the game. Peter retrieves it, but Alan is arrested by Carl. Back in town, the stampede wreaks havoc, and Van Pelt steals the game.
Peter, Sarah, and Judy track Van Pelt to a discount store, where they set booby traps to subdue him and retrieve the game, while Alan, after revealing his identity to Carl, is set free. When the four return to the mansion, it is now completely overrun by jungle wildlife. They release one calamity after another until Van Pelt arrives. When Alan drops the dice, he wins the game which causes everything that happened as a result of the game to be reversed.
Alan and Sarah return to 1969, just in time for Alan to reconcile with Sam, who tells him that he does not have to attend boarding school. Alan also admits his responsibility for damaging the conveyor belt. After realizing that they have memories of the game, Alan and Sarah throw Jumanji into a river, then share a kiss.
In an alternate version of the present, Alan and Sarah are married and expecting their first child. Alan's parents are still alive and Alan is now successfully running the family business. Alan and Sarah meet Judy, Peter, and their parents Jim and Martha for the first time during a Christmas party. Alan offers Jim a job and convinces them to cancel their upcoming ski trip, averting their deaths.
Meanwhile, two young girls hear drumbeats while walking on a beach. Jumanji is seen lying partially buried in the sand."
1995,Grumpier Old Men ,"The feud between Max and John has cooled and they have become good friends. Their children, Melanie and Jacob have become engaged. Meanwhile, John is enjoying his marriage to new wife Ariel. John and Max still call each other ""moron"" and ""putz"" respectively, but with friendly intentions.
The spring and summer fishing season is in full swing with the annual quest to catch ""Catfish Hunter,"" an unusually large catfish that seems to enjoy eluding anyone that tries to catch it. However, the local bait shop closed after Chuck, the previous owner, died in the first movie. Maria Ragetti has purchased the property with the intent of converting it into a fancy Italian restaurant.
Irritated it will no longer be a bait shop, Max and John join forces to sabotage the restaurant. They are successful at first with their practical jokes. However, when Ariel learns what is going on, she tells John to apologize to Maria at once, and he does after Ariel kicks him out of the house. Max and Maria begin dating after discovering a shared passion for fishing, while her mother Francesca dates John's father, J.W.
To complicate things further, Jacob and Melanie call off their engagement due to stress from their parents' involvement. Upon hearing the news, John and Max reignite their feud and go back to their childish pranks again such as John cutting a hole in Max's fishing net and detaching the anchor to his boat. Max retaliates by disconnecting John's motor from his boat and broadcasting him nude (while Ariel was making a clay statue of him) at a Sears department store. Ariel is stressed out because of it and leaves John until things settle down. At the restaurant, Francesca is worried about all the time Maria spends with Max. She reminds her daughter of her five failed marriages and worries that Max will make it six.
After being convinced to take a long look at herself, Maria reluctantly stops seeing Max. Distraught over losing Ariel, John heads to the lake for his father's advice but finds that he has died in his favorite spot with a fishing pole in one hand and a can of beer in the other. Following the funeral and the spreading of J.W.'s ashes in the lake, John and Max call off their feud again.
After realizing that their own inability to properly plan a wedding is what drove their kids to call it off, they decide to set it right. They help Jacob and Melanie reconcile, explaining their drama. John decides to reconcile with Ariel and convinces Max to talk to Maria. He does and convinces her to take a chance on him, while convincing her mother that he's not going to be like her previous sons-in-law. John and Max manage to catch ""Catfish Hunter"" but they reluctantly decide to release it so it can be with J.W. in the lake. After they let it go, they realize that they're late for a wedding happening in town and rush to the church as quickly as they can. The wedding is revealed to be for Max and Maria, who have reconciled (Jacob and Melanie have eloped). On the way to their honeymoon, they discover Max's one-eyed bulldog, Lucky, in the car with them, being put there by John earlier as a prank. Ragetti's is also reformed so it will be both a restaurant and a bait shop."
1995,Waiting to Exhale ,"Four friends (Savannah, Robin, Bernadine, and Gloria) get together frequently to support one another and listen to each other vent about life and love. They each want to be in a romantic relationship, but they each have difficulties finding a good man.
Successful television producer Savannah ""Vannah"" Jackson believes that one day her married lover will leave his wife for her. She later realizes that he won't, and that she must find her own man who will love her for who she really is.
Bernadine ""Bernie"" Harris, who abandoned her career and dreams of having a catering business, instead raised a family and supported her husband John in building his business. He announces he is leaving her for a white woman with whom he works, sending her into an emotional tailspin that culminates in the two fighting over their assets after she burns his car, clothes and some of his other belongings, and then sells the rest of his things for a dollar each, and he retaliates by draining their bank accounts.
Robin Stokes is a high-powered executive and the long-time mistress of married Russell. After dumping him, she has problems finding someone suitable.
Beauty salon owner Gloria ""Glo"" Matthews is a single mother. Her ex-husband and the father of her son tells her that he was always bisexual and now realizes he is gay. Gloria eventually falls in love with a new neighbor, Marvin King.
The situations all resolve themselves for the better. Savannah ends up permanently dumping her married lover. Bernadine gets a large divorce settlement from her ex-husband and finds love with a widowed civil rights attorney who encourages her to pursue her catering dream. Robin ends up pregnant by her married lover, but dumps him, and chooses to raise the baby on her own.
Gloria apologizes to her neighbor for snapping at him when he suggested that she should let her son grow up and experience the world. She learns not to be so protective of her son and lets him go on an ""Up with People"" trip to Spain. She finds love while learning to take care of herself rather than being self-sacrificing in her devotion to her son and her business."
1995,Father of the Bride Part II ,"The film begins four years after the events of the first one, with George Banks telling the audience he is ready for the empty nest he will soon receive with all of his children grown up. Shortly thereafter, Annie tells the family that she is pregnant. George begins to mildly panic, insisting he is too young to be a grandfather. He has his assistant make a list of people who are older than him, dyes his hair brown, and decides he and Nina should sell the home their children have grown up in if one more thing goes wrong with it.
Termites strike the house two weeks later. George puts the house on the market without telling Nina, and sells it to the Habibs. At dinner, after a discussion on whether the baby's last name will be hyphenated or not, George reveals the house has been sold. Nina is livid, as she and George have to be out in ten days and have no place to go. The Bankses stay at the mansion owned by Bryan's parents. As the MacKenzies are on a cruise in the Caribbean, the Bankses have to deal with their vicious Dobermans, much to the chagrin of George, who is still paranoid from a previous mishap with them. Nina begins experiencing symptoms that bring up the concern of menopause. After visiting the doctor the following day, they are given the opposite news: Nina is pregnant, too.
Following the unexpected news of Nina's pregnancy, they have a chance meeting with Franck, Annie's former wedding planner, who is elated at both women expecting. As they are driving home, Nina and George have differing perspectives on the prospect of becoming new parents again. Both express how strange it will be, but begin to welcome the change. George has switched gears, now believing he is too old to be a father again. His feelings come to a head when he and Nina go to Annie's and Bryan's house to announce their news. Nina brings his insensitivity to light and tells him not to come home.
Out for a walk, George notices that the street to their old house is blocked off and sees a demolition crew with a wrecking ball at the house, learning that Mr. Habib plans to demolish it. An upset George runs in and tries to stop them as the wrecking ball is about to slam into the house. He pleads with Mr. Habib not to tear down the house since he is going to be a father again, as there is great sentimental value to it. He realizes that if he is going to have another child, he wants to raise it in the house in which his family grew up. When George offers to buy the house back, Habib agrees on the condition that George pay him $100,000 up front. Although reluctant to pay that money, he gives in. The Bankses then move back into their house. As a way to further apologize to Nina, George reluctantly hires Franck to do the baby shower. A few weeks before the baby is due Bryan is called away to an emergency meeting in Japan, leaving Annie in George and Nina's care.
Meanwhile, Nina and Annie are moving along in their simultaneous pregnancies and need around the clock care from George. Matty takes over when his father George is away at work. Franck turns simple redecoration of Nina and George's new baby's nursery into a full-scale renovation/addition, which he affectionately calls, 'the baby's suite'. Eventually, all the stress and nights of sleep deprivation wear George out. When 'the baby's suite' is revealed, Franck offers George some sleeping pills from his native country called 'Vatsnik' after George tells him that he has not been getting enough sleep. George unknowingly takes too high of a dosage and suddenly passes out during dinner. The family becomes worried, which is only increased when Annie finally goes into labor.
Franck takes over the role of driving the family to the hospital with a barely coherent George in tow. After being mistaken for a patient in need of a prostate exam, George finally regains full consciousness and goes to see Nina when she goes into labor. George is initially cynical about the female obstetrician who fills in because their own is unavailable. Despite wanting his grandchild to be delivered by the same doctor who delivered his children, George comes to terms with the arrangement. Bryan soon returns to be with Annie, who gives birth to a baby boy, while Nina at the same moment gives birth to a baby girl, named George and Megan, respectively. As George holds his grandson and daughter in his arms, he delivers the stand-out line of the movie - ""Life doesn't get any better than this"". George finishes telling the story about Nina and Annie's pregnancies. Bryan and Annie then move to Boston with baby George, since Annie took a job there. The film concludes with George standing on the road in front of his house, admiring it with Megan by his side. As he completes the story, he begins walking up the driveway, telling Megan about all the basketball tricks George will teach her."
1995,Tom and Huck ,"One dark stormy night, Injun Joe goes to meet Doctor Jonas Robinson for some shady business. Meanwhile, a young boy name Tom Sawyer runs away from home with his friends to become steamboat men. This ultimately fails as their raft collides on a rock in the Mississippi River, throwing Tom into the water. His friends find him washed up on the shore, and Tom finds it was Huck Finn who carried him to safety. Tom later meets Huck discovering an unusual way to remove warts - by taking a dead cat to the graveyard at night. There they witness Injun Joe and Muff Potter, the town drunk, digging up the grave of Vic ""One-Eyed"" Murrell for Doctor Robinson. A treasure map is discovered and Doc assaults Muff and Injun Joe in an attempt to take it for himself. Doc manages to knock out Muff, but Injun Joe fights back by fatally stabbing Doc with Muff's knife.
The next morning, Muff is charged for the murder. Tom and Huck had signed an oath saying that if either of them came forward about it, they would drop dead and rot. The boys embark on a search for the treasure map Injun Joe has, so they can declare Muff innocent while preserving their oath. Eventually however, Joe finds the lost treasure and asks his partner to hide the treasure in a cave before burning the map. With the only evidence to prove Muff's innocence destroyed, Tom and Huck's friendship starts to decline, and Huck eventually leaves Hannibal. Joe then discovers that Tom was a witness to the crime. He finds Tom and threatens he will kill him if he ever tells anyone about the murder. 
At Muff Potter's trial, Tom decides that his friendship with Muff is more important than his oath with Huck and exposes the truth. Injun Joe in fury, unsuccessfully attempts to kill Tom before leaving Hannibal. The townspeople declare Tom as a hero for his bravery and plans to throw a festival to commemorate the occasion. Tom, however, knowing Joe is after him, refuses to attend. Huck later sneaks into Tom's bedroom one night, criticizing Tom for breaking their oath before leaving town again.
The next day during the festival, a group of children, including Tom and his love interest Becky Thatcher, enter the caves, where Tom and Becky become lost. Meanwhile, the judge is alerted by the sheriff that Joe ended up killing one of his partners. Huck, who secretly attends the festival, overhears all this and goes after Tom. They eventually stumble upon Injun Joe in McDougal's Cave. He traps them, but Tom and Becky manage to escape. Tom later discovers the spot where Joe hid his treasure. He then finds an opening in the cave and asks Becky to get her father.
Injun Joe ultimately finds Tom and attempts to kill him before Huck suddenly shows up. After a brief struggle, Injun Joe easily overpowers Huck. Just as Joe is about land a finishing blow, Tom quietly empties the contents from the treasure chest and threatens Joe by throwing the treasure chest over a chasm. Injun Joe then tries to get the chest from Tom, only to fall into the chasm to his death. The boys reconcile as they claim Joe's treasure and are declared heroes by the people. Tom is praised on the front page of the newspaper, and Widow Douglas adopts Huck Finn."
1995,GoldenEye ,"In 1986, MI6 agents James Bond and Alec Trevelyan infiltrate a Soviet chemical weapons facility in Arkhangelsk. While Trevelyan is caught and assumed killed by Colonel Arkady Grigorovich Ourumov, the facility's commanding officer, Bond destroys the site and escapes.
While undergoing an assessment nine years later, after the dissolution of the Soviet Union, Bond attempts to prevent Xenia Onatopp, a member of the Janus crime syndicate, from stealing a Eurocopter Tiger attack helicopter during a military demonstration in Monte Carlo, but is unable to prevent the theft. Returning to MI6 Headquarters in London, Bond oversees MI6 staff monitoring an incident in Severnaya, Siberia, after the stolen helicopter turns up at a radar facility there. An electromagnetic pulse blast suddenly hits the site, destroying it and Russian fighter aircraft, while knocking out all satellite systems in orbit above.
The newly appointed M assigns Bond to investigate, after it is determined the blast came from a Soviet-era satellite armed with a nuclear electromagnetic pulse space-based weapon, codenamed ""GoldenEye"". Although Janus is suspected of initiating the attack, Bond suspects Ourumov, now a general, was involved because the weapon system required high-level military access. Travelling to Saint Petersburg, Bond is advised by his CIA contact Jack Wade to meet the former KGB agent turned gangster Valentin Zukovsky and have him arrange a meeting with Janus. Escorted to the meeting by Onatopp, Bond discovers that Janus is led by Trevelyan, who had faked his death at Arkhangelsk, and learns Trevelyan is descended from the Lienz Cossacks who were repatriated to the Soviet Union after collaborating with the Axis powers during World War II. One side of Trevelyan's face was left permenantly scarred by the incident, a direct result of Bond setting the bomb timers for 3 minutes instead of 6 minutes as they had planned. This (along with Trevelyan's deceit) is revealed to be the origin of the pseudonym 'Janus,' named after ""the two-faced Roman God come to life."" 
Realizing that Trevelyan seeks revenge against Britain for betraying his parents, Bond is sedated and trapped in the stolen Tiger alongside Natalya Simonova, a survivor of the Severnaya attack. After escaping the helicopter's destruction, the pair are taken into custody and interrogated by Russian Minister of Defence Dimitri Mishkin. The heated argument between the men leads Natalya to affirm Ourumov's involvement in the use of GoldenEye, and that fellow programmer Boris Grishenko survived along with her and is now working for Janus in operating a second GoldenEye satellite. Before Mishkin can act on the information, Ourumov kills him and captures Natalya. Commandeering a tank, Bond eventually pursues Ourumov to a missile train used by Janus. Once on board, he finds Ourumov who is holding Natalya hostage, as well as Trevelyan and Onatopp. After a short confrontation, Bond kills Ourumov and saves Natalya but allows Trevelyan and Onatopp time to escape, but not before triggering a bomb that will detonate in 3 minutes, just as Bond had rigged the bombs that scarred Trevelyan in Arkhangelsk years earlier. Natalya uses the train's computer to try and figure out where they are going, while Bond uses a laser to burn a hole in the floor and escape the train with Natalya just before it explodes.
Bond and Natalya travel to Cuba, after Boris is traced to a location within the island's jungles. While flying over the area, the pair are shot down. Onatopp attacks them after they crash land, but Bond kills her during the fight. The pair soon uncover a hidden base beneath a large lake, concealing a satellite dish, and proceed to infiltrate it. Bond is captured while trying to rig the base to explode, and learns from Trevelyan that he intends to use GoldenEye to devastate London to conceal the theft of financial records from the Bank of England. While Natalya is captured as well, she hacks into the satellite and reprograms it to initiate atmospheric re-entry and thus destroy itself. When Boris loses his patience trying to undo her programming, Bond uses the moment to trigger a grenade, concealed in a pen, to allow him and Natalya to escape.
To prevent Boris from regaining control of the satellite, Bond sabotages the dish's antenna by jamming its gears. Trevelyan tries to intercept him, and the ensuing fight between the two culminates in Trevelyan being dangled below the antenna. When Trevelyan asks Bond if he is killing him for England, Bond admits it is for himself before dropping Trevelyan to the roof on the control center. Natalya soon rescues Bond in a commandeered helicopter, moments before the antenna malfunctions and explodes, destroying the base and killing its personnel, with Trevelyan killed by falling debris and Boris killed by ruptured liquid nitrogen canisters. After landing in a meadow, the pair prepare to enjoy some solitude together, but are interrupted by the arrival of Wade and a team of U.S. Marines, who escort them to Guantanamo base."
1995,Dracula: Dead and Loving It ,"In 1893, Solicitor Thomas Renfield travels from London to ""Castle Dracula"" in Transylvania to finalize Dracula's purchase of Carfax Abbey in England.
Renfield meets Dracula, who unknown to Renfield, is a vampire. Dracula casts a hypnotic spell on Renfield, making him his slave. They soon embark for England. During the voyage, Dracula kills the ship's crew. When the ship arrives and Renfield is discovered alone on the ship, he is confined to a lunatic asylum.
Meanwhile, Dracula visits an opera house, where he introduces himself to his new neighbors; Doctor Seward, the asylum's administrator and head psychiatrist, Seward's daughter, Mina and her fiance, Jonathan Harker and family friend, Lucy Westenra. Dracula flirts with Lucy and later that night, enters her bedroom and drinks her blood.
Mina discovers Lucy still in bed late in the morning, looking strangely pale. Seward, puzzled by the odd puncture marks on her throat, calls in Professor Abraham Van Helsing. Van Helsing informs the skeptical Dr. Seward that Lucy has been attacked by a vampire. Seward and Harker allow garlic to be placed in Lucy's bedroom to repel the vampire, however Seward remains skeptical. After a failed attempt by Renfield to remove the garlic, Dracula uses mind control to get Lucy out of her room and kills her.
Van Helsing meets Dracula and begins to suspect him of being a vampire after the two argue in Moldavian, each attempting to have the last word. Lucy, now a vampire herself, rises from her crypt, drains the blood from her guard, and tries to attack and seduce Harker before he stakes her.
Dracula preys on Mina, wanting her to be his undead bride. Dracula spirits Mina away to Carfax Abbey, where they dance, and he drinks her blood. The following morning, Mina tries to seduce Harker. Dr. Seward assumes Jonathan to be seducing Mina and orders him to leave. Van Helsing notices a scarf around Mina's neck and removes it, revealing two puncture marks. Though she lies about how she got them, Van Helsing confirms she has been attacked by a vampire by placing a cross on her hand, which burns a mark into it.
Van Helsing devises a plan to reveal the vampire's secret identity. Both Dracula and Renfield are invited to a ball, where Van Helsing has placed a huge mirror, covered with a curtain, on one of the walls. While Dracula and Mina perform a dance routine, the curtain over the mirror is dropped, revealing that Dracula has no reflection. Dracula grabs Mina and escapes out of a window.
Van Helsing deduces that Renfield is Dracula's slave, and thus might know where he has taken his coffin after a search of Carfax turns up empty. Dracula locks himself in an abandoned church to finish making Mina his bride. His pursuers break down the door, and fighting ensues. Van Helsing, noticing sunlight creeping into the room, opens the blinds. As his body begins to burn, Dracula then attempts to flee, but is inadvertently killed by Renfield.
With Dracula dead, Renfield falls into despair with no master to serve and scrapes Dracula's ashes into the coffin. Seward tells him ""you are free, now"" and Renfield seems relieved. Dr. Seward calls for Renfield to follow him out of the church, and he follows, responding ""yes, master"". Van Helsing opens Dracula's coffin and yells in Moldavian to ensure that he has the final word between himself and the count. After the end credits roll, Dracula responds in Moldavian, giving him the true final word."
1995,Cutthroat Island ,"In 1668 Jamaica, Morgan Adams having escaped a sting operation to capture her with aid of her father's boatswain Mr. Glasspoole and Bowen, hunts down her uncle and fellow pirate Dawg Brown, who has captured her father, Black Harry. Black Harry has one of three pieces of a map to a huge stash of gold on the remote Cutthroat Island. Dawg has another piece, having stolen it from the corpse of a third brother, Richard, while a fourth brother, Mordechai, has the last piece. Harry refuses to give Dawg his piece and escapes with Morgan's help, but not before being mortally wounded by Snelgrave, Dawg's one armed and one eyed first mate. A dying Harry reveals to his daughter the location of the map piece: on his scalp. At the same time in Port Royal, during a ball hosted by its corrupt Governor Ainslee, thief William Shaw is captured by Captain Trotter, having fleeced several guests of their valuables.
Morgan, now captain of the Morning Star, sets out for the treasure. Unable to translate the map, they go to Port Royal to find a translator. Learning that Shaw, up for slave auction, is fluent in Latin, Morgan wins the auction. When she is recognized from her wanted poster and barely escapes with Shaw, Ainslee vows to find her, either to arrest her or form a partnership for half her profits. He enlists the help of chronicler John Reed, who often follows pirates to write his books.
The crew finds Mordechai in Spittlefield Harbor. Before they can learn where the second piece is, Dawg appears; a fight ensues, during which Mordechai is mortally wounded, Morgan is shot, and Shaw secretly finds the map piece and keeps it to himself. Escaping on the Morning Star, Morgan collapses from her wound, but is saved by Shaw, a self-proclaimed doctor. The two start a romance. Morgan figures out that the words on the two map pieces, when read backwards, spell out half the coordinates to the island.
Dawg pursues the Morning Star in his own ship, the Reaper. Morgan directs hers toward a coral reef and a gale. Shaw manages to determine the location of Cutthroat Island with his and Morgan's map pieces, but is caught and thrown in the brig. During the storm, Reed sends a carrier pigeon revealing their location to Ainslee. Scully leads a mutiny, marooning Morgan and those loyal to her in a boat. The tide takes them straight to Cutthroat Island.
As Morgan goes after the treasure, Shaw escapes and steals the last piece from Dawg. Shaw falls into quicksand and Morgan, realizing he has the piece, frees him. Together, they find the treasure, only for it to be stolen by Dawg, forcing them to jump off a cliff into the sea.
After regaining consciousness, Shaw finds Reed, who leads him into a trap set by Dawg, Ainslee and Scully, who have joined forces and intend to split the treasure, with Ainslee intending to pardon the pirates by re-classifying them as privateers. As Shaw is captured and they make their way out to sea with the gold, Morgan sneaks aboard the Morning Star and retakes it from Scully and the mutineers, throwing them overboard to swim back to Cutthroat Island, while overpowering Captain Trotter – who has become disappointed by Ainslee's actions.
Dawg deduces that Morgan has retaken control of Morning Star. He convinces Ainslee to hang Shaw from the yardarm of Reaper, causing the Morning Star crew to act prematurely. A sea fight ensues, during which Shaw escapes and Ainslee, his men, and Reed are killed by cannon fire. Realizing his future in the army is over, Captain Trotter saves Mr. Blair by killing a fellow soldier before turning on the rest of his remaining comrades, while Mr. Glasspoole tricks Snelgrave into entangling himself in the anchor then dropping it to the depths. Morgan boards the Reaper and blows out the ship's bottom to get to the treasure. She then kills Dawg in a duel and saves Shaw from the sinking Reaper.
Morgan had attached a marker barrel to the treasure beforehand, allowing them to retrieve it, and the newly rich crew sets sail for Madagascar."
1995,Four Rooms ,"On New Year's Eve, bellhop Sam (Marc Lawrence) of the Hotel Mon Signor briefs his replacement, Ted (Tim Roth).
The film's animated opening credits, inspired by the cartoons of The Pink Panther Show, feature the scat song ""Vertigogo"" by Combustible Edison."
